Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri Rene & His Orchestra","['pop', 'rock']",r&b
"Baby, It's Cold Outside",Dean Martin,"['pop', 'rock']",rock
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,"['rock', 'pop']",rock
One More Sleep,Leona Lewis,"['pop', 'r&b']",pop
I'll Be Home,Meghan Trainor,"['pop', 'rap']",pop
Rudolph The Red-Nosed Reindeer,Dean Martin,"['pop', 'rock']",pop
Mistletoe And Holly - Remastered 1999,Frank Sinatra,"['pop', 'rock']",rock
Jingle Bells - Remastered 1999,Frank Sinatra,"['pop', 'rock']",pop
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,"['pop', 'r&b']",pop
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,"['pop', 'rock', 'rap']",rock
This Christmas,Donny Hathaway,"['r&b', 'rock', 'rrock']",rock
Winter Wonderland,Tony Bennett,"['pop', 'rock']",pop
My Kind Of Present,Meghan Trainor,"['pop', 'rap']",pop
She Knows This,Kid Cudi,"['rap', 'pop']",rap
Another Day,Kid Cudi,"['rap', 'pop']",rap
"Solo Dolo, Pt. III",Kid Cudi,"['rap', 'pop']",rap
Dive,Kid Cudi,"['rap', 'pop']",rap
Heaven On Earth,Kid Cudi,"['rap', 'pop']",rap
Sad People,Kid Cudi,"['rap', 'pop']",rap
Damaged,Kid Cudi,"['rap', 'pop']",rap
Beautiful Trip,Kid Cudi,"['rap', 'pop']",rap
The Void,Kid Cudi,"['rap', 'pop']",rap
Real Shit (with benny blanco),Juice WRLD,"['pop', 'rap']",rap
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,"['r&b', 'pop']",pop
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow","['rap', 'pop', 'r&b']",rap
Mad at Disney,salem ilese,"['pop', 'rock']",pop
Baby (with J Balvin),Sfera Ebbasta,"['rap', 'pop']",pop
Tik Tok (feat. Marracash & Guè Pequeno),Sfera Ebbasta,"['rap', 'pop']",rap
Abracadabra (feat. Future),Sfera Ebbasta,"['rap', 'pop']",rap
Smile (with The Weeknd),Juice WRLD,"['pop', 'rap']",rap
Hollywood (feat. Diplo),Sfera Ebbasta,"['rap', 'pop']",pop
Are You Bored Yet? (feat. Clairo),Wallows,"['rock', 'pop']",rock
Quiéreme Mientras Se Pueda,Manuel Turizo,"['rap', 'pop']",pop
Drankin N Smokin,"Future, Lil Uzi Vert","['rap', 'pop']",rap
Enchule,Rauw Alejandro,"['pop', 'rap']",rap
Stripes Like Burberry,"Future, Lil Uzi Vert","['rap', 'pop']",rap
Spicy (feat. Post Malone),Ty Dolla $ign,"['rap', 'pop', 'r&b']",rap
That’s It,"Future, Lil Uzi Vert","['rap', 'pop']",rap
GREECE (feat. Drake),DJ Khaled,"['rap', 'pop']",rap
SLOW DANCING IN THE DARK,Joji,"['r&b', 'pop']",r&b
Nada,"Cali Y El Dandee, Danna Paola","['rap', 'pop']",pop
Caramelo - Remix,"Ozuna, KAROL G, Myke Towers","['rap', 'pop']",pop
Favorito,Camilo,"['rap', 'pop']",pop
Rojo,J Balvin,rap,rap
Thriller,Michael Jackson,"['r&b', 'pop']",pop
Me Gusta (with Cardi B & Myke Towers),Anitta,"['pop', 'rock']",pop
Relación,Sech,"['rap', 'pop']",rap
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,"['rap', 'pop']",rap
Wolves (feat. Post Malone),Big Sean,"['rap', 'pop']",rap
Let Her Go,Passenger,"['rock', 'pop']",pop
Play Date,Melanie Martinez,"['pop', 'rock']",pop
Someone Like You,Adele,"['pop', 'r&b']",r&b
It's You,Ali Gatie,"['rap', 'pop']",pop
Hate The Way (feat. blackbear),G-Eazy,"['rap', 'pop']",rap
Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari","['rap', 'pop']",rap
El Mismo Aire - con Pablo Alborán,Camilo,"['rap', 'pop']",pop
Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez","['pop', 'rap']",rap
July,Noah Cyrus,"['pop', 'rock']",rock
Supalonely,"BENEE, Gus Dapperton","['rock', 'pop']",pop
forget me too (feat. Halsey),Machine Gun Kelly,"['rap', 'pop']",rock
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","Feid, J Balvin, Justin Quiles","['rap', 'pop']",rap
No Guidance (feat. Drake),Chris Brown,"['pop', 'rap', 'r&b']",r&b
Outta Time (feat. Drake),Bryson Tiller,"['rap', 'pop', 'r&b']",r&b
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,"['rap', 'pop']",rap
Your Man,Joji,"['r&b', 'pop']",pop
Gimme Love,Joji,"['r&b', 'pop']",pop
Ew,Joji,"['r&b', 'pop']",r&b
Daylight,"Joji, Diplo","['r&b', 'pop']",r&b
bloody valentine,Machine Gun Kelly,"['rap', 'pop']",rock
MODUS,Joji,"['r&b', 'pop']",r&b
Tick Tock,Joji,"['r&b', 'pop']",r&b
Sanctuary,Joji,"['r&b', 'pop']",r&b
feel something,Bea Miller,"['pop', 'rock']",pop
Tap In,Saweetie,"['pop', 'rap']",rap
Pretty Boy (feat. Lil Yachty),Joji,"['r&b', 'pop']",r&b
Afterthought,"Joji, BENEE","['r&b', 'pop']",r&b
Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Polo G","['pop', 'rap']",rap
drunk face,Machine Gun Kelly,"['rap', 'pop']",rock
WHATS POPPIN,Jack Harlow,"['rap', 'pop', 'r&b']",rap
Blastoff (feat. Juice Wrld & Trippie Redd),"Internet Money, Diplo","['rap', 'pop']",rap
September,"Earth, Wind & Fire","['pop', 'rock', 'rrock', 'r&b']",rock
BXL ZOO,"Damso, Hamza","['rap', 'pop']",rap
DEUX TOILES DE MER,Damso,"['rap', 'pop']",rap
Righteous,Juice WRLD,"['pop', 'rap']",rap
Conversations,Juice WRLD,"['pop', 'rap']",rap
Chicago Freestyle (feat. Giveon),Drake,"['rap', 'pop']",rap
Del Mar,"Ozuna, Doja Cat, Sia","['rap', 'pop']",rap
Hit Different,"SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign","['pop', 'r&b']",r&b
Nobody's Love,Maroon 5,"['rock', 'pop']",pop
Máquina do Tempo,Matuê,"['rap', 'r&b']",rap
Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion","['pop', 'r&b']",pop
Lithuania (feat. Travis Scott),Big Sean,"['rap', 'pop']",rap
"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,"['pop', 'rap']",rap
"The Plan - From the Motion Picture ""TENET""",Travis Scott,"['rap', 'pop']",rap
Desce Pro Play (PA PA PA),"Mc Zaac, Anitta, Tyga","['pop', 'rock']",rap
Mariposa,Peach Tree Rascals,"['r&b', 'pop']",pop
Unterwegs,"KitschKrieg, Jamule, SFR","['rap', 'pop']",pop
Gifted (feat. Roddy Ricch),Cordae,"['rap', 'pop']",r&b
Bandit (with YoungBoy Never Broke Again),Juice WRLD,"['pop', 'rap']",rap
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","['rap', 'pop']",rap
Life's A Mess (feat. Halsey),Juice WRLD,"['pop', 'rap']",rap
PORFA,"Feid, Justin Quiles",pop,pop
2012,"Bausa, Juju","['rap', 'pop']",pop
Ballin' (with Roddy Ricch),Mustard,"['rap', 'pop']",rap
I'm Yours,Jason Mraz,"['rock', 'pop']",pop
Rover (feat. DTG),S1mba,"['pop', 'rap']",pop
El Efecto,"Rauw Alejandro, Chencho Corleone","['pop', 'rap']",rap
Como Llora,Juanfran,"['rap', 'pop']",pop
Savage,Megan Thee Stallion,"['rap', 'pop']",rap
